id;jhi_range;name;category_id;sub_category_id;currency_id
1;KBL;RICHELIEU FD - FLEXIBLE 25/75 'A' CAP.;1;1;1
2;KBL;RICHELIEU FD - STRATEGIC DYNAMIC'A'CAP.;1;2;1
3;KBL;RICHELIEU FD - FLAGSHIP 'A' CAP.;1;3;1
4;KBL;RICHELIEU BOND - GOVERNMENT EURO CAP;2;5;1
5;KBL;RICHELIEU BOND-DOLLAR'A'CAP.;2;6;2
6;KBL;KBL KEY FUND - GLOBAL EMERGING CAP. EUR;4;9;1
7;KBL;RICHELIEU EQUITY -BELGIUM'A'(EUR)CAP.;3;8;1
8;KBL;RICHELIEU FD - STRATEGIC BALANCED'A'CAP.;1;4;1
9;KBL;RICHELIEU BOND-INTERNATIONAL'A'DISTR.;2;7;1

