id;jhi_date;jhi_value;fund_id
1;2017-05-03;380.89;1
2;2017-05-02;380.68;1
3;2017-04-28;380.04;1
4;2017-04-27;380.38;1
5;2017-04-26;379.92;1
6;2017-04-25;379.48;1
7;2017-04-24;379.77;1
8;2017-04-21;377.76;1
9;2017-04-20;377.53;1
10;2017-04-19;377.36;1
11;2017-04-18;377.57;1
12;2017-04-13;378.37;1
13;2017-04-12;378.71;1
14;2017-04-11;378.85;1
15;2017-04-10;379.16;1
16;2017-04-07;379.26;1
17;2017-04-06;378.67;1
18;2017-04-05;378.51;1
19;2017-04-04;378.45;1
20;2017-04-03;378.21;1
21;2017-03-31;377.92;1
22;2017-03-30;377.91;1
23;2017-03-29;377.55;1
24;2017-03-28;376.42;1
25;2017-03-27;375.48;1
26;2017-03-24;376.25;1
27;2017-03-23;376.03;1
28;2017-03-22;375.45;1
29;2017-03-21;375.39;1
30;2017-03-20;376.17;1
31;2017-03-17;376.31;1
32;2017-03-16;376.09;1
33;2017-03-15;376.21;1
34;2017-03-14;375.26;1
35;2017-03-13;375.43;1
36;2017-03-10;375.06;1
37;2017-03-09;375.78;1
38;2017-03-08;376.54;1
39;2017-03-07;377.16;1
40;2017-03-06;377.38;1
41;2017-03-03;378.13;1
42;2017-03-02;378.42;1
43;2017-03-01;378.78;1
44;2017-02-28;377.20;1
45;2017-02-27;377.21;1
46;2017-02-24;377.38;1
47;2017-02-23;377.57;1
48;2017-02-22;377.55;1
49;2017-02-21;377.22;1
50;2017-02-20;376.55;1
51;2017-02-17;376.12;1
52;2017-02-16;375.99;1
53;2017-02-15;376.16;1
54;2017-02-14;375.61;1
55;2017-02-13;375.37;1
56;2017-02-10;374.34;1
57;2017-02-09;374.28;1
58;2017-02-08;372.97;1
59;2017-02-07;372.27;1
60;2017-02-06;371.93;1
61;2017-02-03;372.55;1
62;2017-02-02;371.81;1
63;2017-02-01;371.68;1
64;2017-01-31;371.21;1
65;2017-01-30;372.07;1
66;2017-01-27;373.23;1
67;2017-01-26;373.59;1
68;2017-01-25;373.80;1
69;2017-01-24;373.10;1
70;2017-01-23;373.13;1
71;2017-01-20;373.28;1
72;2017-01-19;373.76;1
73;2017-01-18;373.80;1
74;2017-01-17;373.93;1
75;2017-01-16;374.39;1
76;2017-01-13;374.82;1
77;2017-01-12;374.29;1
78;2017-01-11;375.68;1
79;2017-01-10;374.54;1
80;2017-01-09;374.61;1
81;2017-01-06;374.70;1
82;2017-01-05;374.99;1
83;2017-01-04;375.66;1
84;2017-01-03;376.10;1
85;2017-01-02;375.65;1
86;2016-12-30;374.60;1
87;2016-12-29;375.15;1
88;2016-12-28;375.44;1
89;2016-12-27;375.07;1
90;2016-12-23;374.78;1
91;2016-12-22;374.31;1
92;2016-12-21;374.91;1
93;2016-12-20;375.13;1
94;2016-12-19;374.55;1
95;2016-12-16;374.00;1
96;2016-12-15;373.72;1
97;2016-12-14;372.90;1
98;2016-12-13;372.85;1
99;2016-12-12;371.53;1
100;2016-12-09;372.16;1
101;2016-12-08;371.31;1
102;2016-12-07;370.02;1
103;2016-12-06;368.53;1
104;2016-12-05;367.45;1
105;2016-12-02;367.63;1
106;2016-12-01;367.45;1
107;2016-11-30;368.58;1
108;2016-11-29;368.46;1
109;2016-11-28;368.21;1
110;2016-11-25;368.38;1
111;2016-11-24;368.26;1
112;2016-11-23;368.27;1
113;2016-11-22;369.06;1
114;2016-11-21;367.80;1
115;2016-11-18;367.67;1
116;2016-11-17;367.90;1
117;2016-11-16;367.52;1
118;2016-11-15;367.91;1
119;2016-11-14;366.89;1
120;2016-11-11;366.95;1
121;2016-11-10;368.89;1
122;2016-11-09;369.87;1
123;2017-05-04;1168.25;2
124;2017-05-03;1165.70;2
125;2017-05-02;1166.50;2
126;2017-04-28;1160.04;2
127;2017-04-27;1160.30;2
128;2017-04-26;1161.97;2
129;2017-04-25;1158.35;2
130;2017-04-24;1156.66;2
131;2017-04-21;1146.64;2
132;2017-04-20;1142.94;2
133;2017-04-19;1141.22;2
134;2017-04-18;1139.87;2
135;2017-04-13;1148.55;2
136;2017-04-12;1152.53;2
137;2017-04-11;1152.22;2
138;2017-04-10;1155.99;2
139;2017-04-07;1156.25;2
140;2017-04-06;1153.88;2
141;2017-04-05;1154.33;2
142;2017-04-04;1154.31;2
143;2017-04-03;1152.76;2
144;2017-03-31;1153.51;2
145;2017-03-30;1152.48;2
146;2017-03-29;1147.27;2
147;2017-03-28;1139.97;2
148;2017-03-27;1133.11;2
149;2017-03-24;1139.91;2
150;2017-03-23;1140.88;2
151;2017-03-22;1135.19;2
152;2017-03-21;1138.31;2
153;2017-03-20;1148.57;2
154;2017-03-17;1150.18;2
155;2017-03-16;1148.66;2
156;2017-03-15;1146.80;2
157;2017-03-14;1142.37;2
158;2017-03-13;1144.10;2
159;2017-03-10;1139.85;2
160;2017-03-09;1142.78;2
161;2017-03-08;1144.27;2
162;2017-03-07;1143.87;2
163;2017-03-06;1144.20;2
164;2017-03-03;1149.20;2
165;2017-03-02;1152.32;2
166;2017-03-01;1153.41;2
167;2017-02-28;1135.86;2
168;2017-02-27;1136.91;2
169;2017-02-24;1140.21;2
170;2017-02-23;1145.53;2
171;2017-02-22;1148.19;2
172;2017-02-21;1149.73;2
173;2017-02-20;1139.90;2
174;2017-02-17;1137.58;2
175;2017-02-16;1137.01;2
176;2017-02-15;1142.59;2
177;2017-02-14;1140.80;2
178;2017-02-13;1138.11;2
179;2017-02-10;1129.15;2
180;2017-02-09;1123.75;2
181;2017-02-08;1114.66;2
182;2017-02-07;1115.24;2
183;2017-02-06;1112.23;2
184;2017-02-03;1114.22;2
185;2017-02-02;1107.83;2
186;2017-02-01;1110.38;2
187;2017-01-31;1101.14;2
188;2017-01-30;1112.39;2
189;2017-01-27;1119.83;2
190;2017-01-26;1124.36;2
191;2017-01-25;1118.98;2
192;2017-01-24;1107.48;2
193;2017-01-23;1102.75;2
194;2017-01-20;1108.86;2
195;2017-01-19;1112.27;2
196;2017-01-18;1108.91;2
197;2017-01-17;1106.40;2
198;2017-01-16;1113.67;2
199;2017-01-13;1118.78;2
200;2017-01-12;1108.89;2
201;2017-01-11;1121.95;2
202;2017-01-10;1114.76;2
203;2017-01-09;1115.00;2
204;2017-01-06;1117.55;2
205;2017-01-05;1113.23;2
206;2017-01-04;1117.83;2
207;2017-01-03;1118.30;2
208;2017-01-02;1109.97;2
209;2016-12-30;1104.01;2
210;2016-12-29;1104.64;2
211;2016-12-28;1111.06;2
212;2016-12-27;1107.97;2
213;2016-12-23;1106.57;2
214;2016-12-22;1106.55;2
215;2016-12-21;1109.46;2
216;2016-12-20;1113.54;2
217;2016-12-19;1108.73;2
218;2016-12-16;1109.14;2
219;2016-12-15;1110.85;2
220;2016-12-14;1096.88;2
221;2016-12-13;1101.04;2
222;2016-12-12;1097.15;2
223;2016-12-09;1103.38;2
224;2016-12-08;1097.08;2
225;2016-12-07;1081.62;2
226;2016-12-06;1074.79;2
227;2016-12-05;1068.95;2
228;2016-12-02;1065.77;2
229;2016-12-01;1072.20;2
230;2016-11-30;1075.52;2
231;2016-11-29;1074.05;2
232;2016-11-28;1073.82;2
233;2016-11-25;1076.72;2
234;2016-11-24;1076.52;2
235;2016-11-23;1077.22;2
236;2016-11-22;1075.63;2
237;2016-11-21;1070.66;2
238;2016-11-18;1070.93;2
239;2016-11-17;1069.77;2
240;2016-11-16;1064.85;2
241;2016-11-15;1064.35;2
242;2016-11-14;1063.89;2
243;2016-11-11;1062.25;2
244;2016-11-10;1067.56;2
245;2016-11-09;1066.84;2
246;2017-05-03;605.50;3
247;2017-05-02;607.00;3
248;2017-04-28;605.36;3
249;2017-04-27;605.13;3
250;2017-04-26;606.87;3
251;2017-04-25;605.29;3
252;2017-04-24;605.20;3
253;2017-04-21;601.83;3
254;2017-04-20;600.27;3
255;2017-04-19;600.05;3
256;2017-04-18;600.37;3
257;2017-04-13;604.33;3
258;2017-04-12;605.06;3
259;2017-04-11;604.88;3
260;2017-04-10;606.56;3
261;2017-04-07;607.05;3
262;2017-04-06;605.72;3
263;2017-04-05;606.42;3
264;2017-04-04;605.63;3
265;2017-04-03;604.82;3
266;2017-03-31;605.06;3
267;2017-03-30;605.07;3
268;2017-03-29;603.65;3
269;2017-03-28;599.64;3
270;2017-03-27;596.44;3
271;2017-03-24;599.85;3
272;2017-03-23;599.68;3
273;2017-03-22;597.74;3
274;2017-03-21;599.54;3
275;2017-03-20;604.08;3
276;2017-03-17;603.88;3
277;2017-03-16;604.11;3
278;2017-03-15;602.68;3
279;2017-03-14;600.62;3
280;2017-03-13;601.97;3
281;2017-03-10;600.83;3
282;2017-03-09;601.25;3
283;2017-03-08;603.19;3
284;2017-03-07;603.74;3
285;2017-03-06;604.15;3
286;2017-03-03;605.98;3
287;2017-03-02;608.02;3
288;2017-03-01;609.00;3
289;2017-02-28;601.58;3
290;2017-02-27;602.45;3
291;2017-02-24;603.08;3
292;2017-02-23;605.35;3
293;2017-02-22;607.10;3
294;2017-02-21;607.02;3
295;2017-02-20;603.30;3
296;2017-02-17;601.48;3
297;2017-02-16;601.55;3
298;2017-02-15;604.21;3
299;2017-02-14;602.28;3
300;2017-02-13;600.98;3
301;2017-02-10;597.95;3
302;2017-02-09;595.36;3
303;2017-02-08;591.26;3
304;2017-02-07;591.46;3
305;2017-02-06;590.28;3
306;2017-02-03;590.49;3
307;2017-02-02;587.95;3
308;2017-02-01;588.52;3
309;2017-01-31;585.08;3
310;2017-01-30;588.89;3
311;2017-01-27;592.83;3
312;2017-01-26;594.03;3
313;2017-01-25;591.78;3
314;2017-01-24;587.81;3
315;2017-01-23;586.25;3
316;2017-01-20;588.99;3
317;2017-01-19;589.78;3
318;2017-01-18;588.47;3
319;2017-01-17;587.84;3
320;2017-01-16;591.22;3
321;2017-01-13;592.43;3
322;2017-01-12;588.74;3
323;2017-01-11;594.24;3
324;2017-01-10;590.88;3
325;2017-01-09;591.15;3
326;2017-01-06;590.84;3
327;2017-01-05;589.80;3
328;2017-01-04;591.39;3
329;2017-01-03;591.29;3
330;2017-01-02;587.68;3
331;2016-12-30;585.13;3
332;2016-12-29;586.06;3
333;2016-12-28;589.04;3
334;2016-12-27;587.29;3
335;2016-12-23;586.19;3
336;2016-12-22;585.77;3
337;2016-12-21;587.46;3
338;2016-12-20;588.72;3
339;2016-12-19;586.23;3
340;2016-12-16;586.78;3
341;2016-12-15;586.70;3
342;2016-12-14;581.89;3
343;2016-12-13;583.23;3
344;2016-12-12;582.15;3
345;2016-12-09;585.08;3
346;2016-12-08;581.77;3
347;2016-12-07;574.67;3
348;2016-12-06;572.64;3
349;2016-12-05;571.96;3
350;2016-12-02;571.93;3
351;2016-12-01;574.10;3
352;2016-11-30;576.59;3
353;2016-11-29;575.63;3
354;2016-11-28;576.66;3
355;2016-11-25;576.59;3
356;2016-11-24;577.51;3
357;2016-11-23;577.42;3
358;2016-11-22;577.80;3
359;2016-11-21;575.74;3
360;2016-11-18;575.92;3
361;2016-11-17;575.48;3
362;2016-11-16;574.29;3
363;2016-11-15;572.93;3
364;2016-11-14;570.99;3
365;2016-11-11;569.75;3
366;2016-11-10;574.57;3
367;2016-11-09;576.97;3
368;2017-05-04;603.89;4
369;2017-05-03;604.12;4
370;2017-05-02;603.68;4
371;2017-04-28;603.72;4
372;2017-04-27;604.13;4
373;2017-04-26;602.80;4
